county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Ca, San Luis Obispo County",6,79,0,0,0,0,1,0,0,1,0,0,1,0,3,3,4,2,0,2
"Ca, San Mateo County",6,81,4,3,5,1,4,2,0,2,11,2,0,1,8,5,5,8,2,0
"Ca, Santa Barbara County",6,83,1,2,3,2,0,0,2,2,9,1,5,0,7,1,3,6,3,5
"Ca, Santa Clara County",6,85,2,6,4,0,2,9,2,0,2,4,10,4,12,5,10,16,23,7
"Ca, Santa Cruz County",6,87,10,1,7,3,0,6,5,2,5,7,8,6,7,6,7,4,19,9
"Ca, Shasta County",6,89,2,1,0,2,2,0,0,0,0,5,1,1,0,0,0,1,1,0
"Ca, Sierra County",6,91,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"Ca, Siskiyou County",6,93,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1
"Ca, Solano County",6,95,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,2
"Ca, Sonoma County",6,97,6,4,9,2,9,8,9,9,10,9,3,12,7,10,12,14,16,11
"Ca, Stanislaus County",6,99,2,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,3,6
"Ca, Sutter County",6,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ca, Tehama County",6,103,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
"Ca, Trinity County",6,105,1,1,1,3,3,0,1,0,0,1,1,0,1,1,0,0,0,0
"Ca, Tulare County",6,107,2,0,0,0,0,0,1,0,4,2,0,1,1,0,1,1,2,0
"Ca, Tuolumne County",6,109,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0
"Ca, Ventura County",6,111,2,1,1,2,1,0,4,2,3,4,0,2,2,0,0,6,4,3
"Ca, Yolo County",6,113,0,2,0,1,0,1,1,0,0,0,0,1,1,1,1,1,3,1
"Ca, Yuba County",6,115,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
"Co, Adams County",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Co, Alamosa County",8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Arapahoe County",8,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Co, Archuleta County",8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Baca County",8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Bent County",8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Boulder County",8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Broomfield County",8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Chaffee County",8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Cheyenne County",8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Clear Creek County",8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Conejos County",8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Costilla County",8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Crowley County",8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Custer County",8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Delta County",8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Denver County",8,31,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Co, Dolores County",8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Douglas County",8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Co, Eagle County",8,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, Elbert County",8,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Co, El Paso County",8,41,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
