county,state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bath County,VA,12.1,11.27,17.71,16.17,11.15,10.16,8.25,10.21,12.49,11.6,10.91,14.34,11.85,7.38,13.2,13.25,8.97,19.18,9.41,14.98,14.58
Baxter County,AR,9.24,10.02,10.33,7.85,12.11,15.03,6.33,16.35,18.49,16.23,7.74,10.08,13.6,7.28,12.65,15.04,11.09,9.73,11.27,9.1,7.04
Bay County,FL,21.08,17.04,27.07,19.25,16.86,15.03,11.91,17.74,15.31,14.43,17.5,27.74,38.75,10.91,16.55,23.83,16.73,22.75,13.97,35.45,28.61
Bay County,MI,8,8.16,7.03,5.53,10.62,9.46,8.8,11.97,7.16,8.18,9.41,11.07,5.37,11.76,10.81,12.08,5.62,10.45,7.83,9.15,13.12
Bayfield County,WI,8.75,14.43,8.3,10.04,8.26,8.69,9.27,8.96,7.64,14.86,9.65,6.32,10.54,13.95,10.01,14.67,12.12,14.01,12.22,13.92,8.99
Baylor County,TX,3.92,8.96,3.96,8.69,15.78,4.5,6.87,5.89,11,11.4,1.03,6.47,9.88,7.07,4.93,11.06,12.31,11.23,4.26,10.11,3.95
Beadle County,SD,5.04,6.19,4.77,11,9.71,9.69,7.93,8.17,8.12,12.48,6.3,2.93,4.67,6.04,10.43,7.62,12.53,8.26,17.41,6.54,8.48
Bear Lake County,ID,1.3,3.42,2.54,4.27,1.82,3.82,3.11,2.26,1.67,1.55,3.54,2.28,4.19,9.49,4.98,3.49,3.85,1.27,4.61,1.26,4.5
Beaufort County,NC,12.8,14.11,23.36,18.41,14.61,18.22,10.95,14.48,17.26,24.04,28.3,21.24,15.1,18.05,15.23,25.86,17.2,24.8,17.21,20.89,14.46
Beaufort County,SC,17.74,17.75,16.42,16.71,12.18,11.8,18.93,18.46,12.35,15.89,15.06,14.77,16.57,21.55,17.27,15.06,22.26,16.82,12.55,18.09,22.04
Beauregard Parish,LA,17.12,15.65,14.89,9.18,19.38,14.83,19.7,14.84,13.34,10.62,9.44,17.87,12.51,15.78,8.94,15.41,25.4,16.97,17.56,15.77,19.81
Beaver County,OK,4.73,7.92,6.85,11.1,7.51,7.75,4.1,9.26,6.2,4.48,2.85,4.72,8.89,7.13,8.02,6.92,6.72,11.45,6.2,6.71,5.27
Beaver County,PA,8.9,8.21,16.95,20.94,12.2,11.24,14.06,7.79,9.45,7.9,14.57,13,11.28,11.18,10.2,11.45,8.58,17.66,11.85,10.96,14.57
Beaver County,UT,2.16,2.7,2.2,2.35,2.82,3.66,3.24,2.13,1.07,2,4.04,4.44,5.53,6.49,2.51,2.93,4.36,3.34,1.73,0.43,4.33
Beaverhead County,MT,3.24,3.87,2.14,4.91,3.43,2.66,3.97,2.5,4.06,3.89,2.27,2.77,5.2,5.52,5.07,3.58,4.14,1.72,4.49,1.98,2.83
Becker County,MN,7.42,10.83,4.69,13.6,9.09,10.08,7.2,8.36,6.7,17.71,6.47,5.96,7,6.91,9.39,15.23,10.14,8.51,13.42,11.54,6.96
Beckham County,OK,3.44,5.95,6.09,7.61,10.39,7.93,7.53,10.86,9.69,9.02,2.92,6.11,8.45,6.32,8.58,11.87,12.5,7.81,7.75,5.56,6.29
Bedford County,PA,7.14,9.51,16.15,20.41,6.85,8.92,11.76,10.04,8.1,10.67,16.28,12.49,9.63,6.28,8.21,8.6,11.33,23.14,11.68,11.89,16.81
Bedford County,TN,15.99,13.22,14.64,12.99,12.9,8.88,10.21,9.15,17.11,10.89,14.36,17.94,16.19,10.46,14.34,13.12,16.8,13.23,12.25,11.78,25.79
Bedford County,VA,8.28,9.07,19.18,16.89,8.95,12.59,6.12,10.8,11.81,15.47,11.34,10.8,12.38,11.4,15.52,12.64,8.73,21.37,7.22,17.43,15
Bee County,TX,16.87,19.35,17.42,6.44,6.61,13.26,20.58,10.96,7.82,20.15,1.96,8.46,10.19,5.48,6.74,9.01,12.47,11.96,4.44,9.82,16.23
Belknap County,NH,8.65,6.67,15.16,13.72,10.6,12.57,10.21,21.45,14.2,8.6,18.16,13.17,13.95,13.23,14.68,8.44,10.25,15.03,8.67,8.78,19.64
Bell County,KY,13.09,12.3,16.04,16.93,10.64,12.81,8.8,9.63,13.85,15.14,12.41,16.6,16.28,13.99,15.81,12.91,12.62,14.44,10.78,13.04,15.95
Bell County,TX,13,8.43,6.08,7.07,12.21,4.78,9.64,5.6,12.32,13.07,0.75,10.1,9.56,5.87,2.06,12.13,9.51,9.22,1.94,9.61,6.9
Belmont County,OH,9.9,8.3,15.73,20.45,10.04,10.78,10.66,7.73,8.21,7.5,14.2,11.85,11,11.22,12.39,12.88,11.52,18.86,11.1,7.64,15.95
Beltrami County,MN,9.95,9.97,8.21,11.71,6.79,6.25,7.46,8.36,7.05,13.44,7.11,6.31,8.32,8.54,7.58,12.13,8.32,7.94,11.25,11.88,7.13
Ben Hill County,GA,11.33,16.02,17,21.35,11.17,10.36,13.01,12.55,10.54,10.22,9.06,13.5,18.87,11.43,13.43,10.9,15.36,14.83,10.73,14.94,19.51
Benewah County,ID,1.59,2.46,2.2,5.49,1.96,1.68,1.15,3.51,3.81,2.71,1.12,1.4,5.54,2.29,1.86,2.31,2.32,1.18,3.61,1.35,2.06
Bennett County,SD,4.82,5.78,3.51,8.11,5.41,5.73,5.46,5.37,8,4.62,7.45,2.21,6.66,8.98,5.27,6.96,6.07,6.96,12.7,5.34,7.89
Bennington County,VT,11.39,10.5,18.99,17.9,11.77,13.71,10.49,18.22,15.32,10,24.36,12.48,14.07,11.7,12.43,10.28,11.42,17.39,10.22,12.86,22.17
Benson County,ND,6.6,9.21,6.55,7.26,5.26,4.78,6.2,9.76,5.99,9.67,8.75,4.62,5.59,5.8,6.3,12.19,6.38,4.27,11.04,6.8,6.14
Bent County,CO,4.8,4.16,2.22,8.21,2.93,10.15,3.58,6.24,5.27,6.6,4.11,3.45,5.07,6.32,5.09,4.68,10.61,5.94,4.53,5.36,3.96
Benton County,AR,11.19,8.41,10.5,12.18,9.34,13.26,12.94,17.87,13.93,12.88,10.25,8.41,15.1,7.96,15.12,13.41,11.05,11.18,16.24,8.64,10.71
Benton County,IA,11.39,12.21,8.5,9.41,8.49,11.87,16.41,14.72,18.75,16.35,8.31,6.4,5.17,11.7,12.5,19.56,5.29,21.58,10.76,9.67,6.96
Benton County,IN,12.62,12.33,20.57,12.26,14.03,13.29,8.73,12,7.34,8.85,10.23,11.07,6.97,14.33,13.81,16.6,10.53,11.07,8.71,8.68,9.65
Benton County,MN,7.19,18.01,7.91,11.45,10.93,9.91,10.6,9.95,8.45,17.19,12.75,5.72,5.03,10.61,13,18.45,12.25,12.97,15.27,12.17,8.69
Benton County,MO,14,7.29,11.13,13.6,12.09,7.42,7.9,16.49,13.56,19.12,8.7,8.16,9.17,10.13,14.07,18.9,13.15,9.64,17.46,12.09,10.86
Benton County,MS,12.06,19.43,14.04,8.86,15.3,11.97,7.29,9.14,20.96,10.05,9.65,11.14,9.79,8.61,11.8,8.3,13.63,11.52,11.38,13.17,17.06
Benton County,OR,2.01,1.38,1.55,5.68,1.12,1.04,2.71,1.88,2.38,2.94,1.6,0.66,7.86,2.06,2.11,2.18,2.48,0.78,4.93,2.56,2.55
Benton County,TN,10.3,18.75,15.76,9.78,13.7,12.74,7.05,5.67,13.86,5.85,9.07,10.58,16.59,9.11,11.07,13.96,17.22,11.61,10.51,16.52,14.18
Benton County,WA,0.45,0.31,0.56,1.1,0.48,0.31,0.62,0.4,0.35,1.52,0.17,0.81,1.3,0.72,0.18,0.68,0.5,0.07,0.83,0.24,0.65
Benzie County,MI,9.64,7.87,9.4,7.51,10.41,9.85,5.91,7.68,9.31,12.27,6.9,6.82,7.99,10.06,9.71,8.77,6.78,10.84,11.83,9.45,15.11
Bergen County,NJ,9.88,11.12,15.74,22.93,7.45,13.66,13.04,14.65,14.08,11.19,28.01,11.11,10.35,8.9,8.25,10.49,10.87,21.34,11.14,14.51,25.29
Berkeley County,SC,13.02,17.74,17.18,22.6,12.71,16.44,13.2,17.12,11.78,22.24,14.24,15.45,15.7,17.2,15.69,16.97,20.79,19.35,15.05,18.23,18.43
Berkeley County,WV,8.39,11.15,15.9,15.21,7.39,10.35,7.88,10.89,7.33,7.78,13.3,12.81,8.74,9.07,8.71,11.25,11.32,23.36,8.89,10.07,13.89
Berks County,PA,11.79,8.13,18.57,23.69,9.42,15.49,10,12.69,17.46,11.51,25.18,13.05,12.42,10.33,13.4,13.19,18.07,28.39,12.49,18.87,19.67
Berkshire County,MA,10.82,10.34,18.15,21.04,8.91,12.58,10.8,17.22,16.83,8.73,25.14,13.68,13.49,13.21,12.61,9.98,10.38,21.03,9.51,11.76,24.64
Bernalillo County,NM,4.44,5.06,2.01,4.51,4.16,10.5,4.2,5.24,5.36,5.59,3.81,3.53,9.05,7.03,6.95,4.69,6.58,4.94,3.45,2.67,4.35
Berrien County,GA,16.62,17.66,21.91,25.66,15.22,9.55,14.4,13.27,10.65,11.44,12.3,15.58,18.59,11.25,14.11,12.15,15.1,15.38,12.1,13.96,21.74
Berrien County,MI,11.06,8.02,10.67,10.44,9.89,14.98,16.85,17.92,8.21,8.81,10.9,10.68,6.68,9.25,10.33,16.17,9.1,10.84,12.45,7.25,10.07
Bertie County,NC,11.77,14.08,22.84,20.02,9.75,18.42,8.52,11.94,16.33,20.12,26.02,17.42,13.16,19.63,12.61,24.99,15.43,21.19,18.2,19.63,13.44
Bexar County,TX,12.24,19.47,14.64,6.14,5.13,6.08,20.86,8.08,7.88,12.17,2.64,11.3,6.98,5.17,1.81,15.45,9.54,15.76,1.8,5.93,10.37
Bibb County,AL,14.56,14.45,14,13.16,19.89,10.91,10.19,13.08,23.96,11.82,11.51,17.65,14.41,7.26,12.06,9.52,11.26,12.26,6.84,11.65,17.7
Bibb County,GA,12.63,9.69,14.16,21.39,14.78,7.84,14.83,12.21,14.97,15.42,9.54,12.36,18.34,9.21,10.26,6.56,12.07,10.46,9.42,16.59,16.38
Bienville Parish,LA,13.25,7.19,11.65,8.1,12.43,8.08,12.21,14.99,17.13,9.18,4.89,18.08,11.06,9.84,2.82,15.79,15.26,12.26,6.19,17.39,10.68
Big Horn County,MT,2.22,4.21,1.32,4.55,2.85,3.8,2.11,3.85,2.55,3.97,2.62,0.99,5.24,4.55,2.55,5.73,3.35,3.84,7.04,2.09,2.82
Big Horn County,WY,2.17,2.66,1.57,3.58,2.59,2.61,2.29,2.73,2.42,1.87,1.36,0.8,4.21,3.71,1.72,4.74,4.13,2.07,5.42,1.55,2.31
Big Stone County,MN,7.23,8.34,4.98,12.17,9,8.64,8.84,8.94,10.77,15.03,8.41,3.72,5.58,7.36,9.03,13.59,12.74,10.45,15.07,8.77,13.79
Billings County,ND,5.38,4.92,4.32,4.57,3.76,4.59,3.34,4.01,5.74,6.05,5.78,3.08,6.37,9.4,5.5,7.84,4.38,4.33,11.71,4.92,3.36
Bingham County,ID,1.65,1.72,1.68,3.14,1.76,2.49,2.31,1.09,2.38,1.78,1.93,1.78,2.64,5.25,3.2,2.66,3.46,0.8,2.83,0.95,2.87
Black Hawk County,IA,12.48,13.45,7.72,8.79,10.01,13.84,18.71,11.19,14.15,18.42,9.62,4.99,6.58,7.64,12.05,18.2,6.02,25.12,10.66,10.14,9.24
Blackford County,IN,13.57,10.26,21.97,9.76,13.05,11.97,11.85,8.24,6.17,8.36,10.64,13.01,9.61,12.89,11.72,12.3,8.55,15.03,9.79,8.37,12.2
Bladen County,NC,14.32,15.71,21.09,19.86,14.73,16.66,7.67,22.81,12.26,17.77,16.59,16.56,15.63,19.13,12.42,22.62,18.11,32.48,17.82,18.38,14.16
Blaine County,ID,1.76,1.01,1.5,3.5,1.13,1.59,1.79,0.65,1.59,1.57,0.99,1.4,3.58,4.62,3.28,2.48,2.66,0.39,2.29,0.91,2.01
Blaine County,MT,3.16,6.37,2.53,4.59,2.04,2.56,3,3.7,3.65,6.31,2.66,1.36,5.81,6.74,5.9,6.61,1.45,3.68,5.21,3,2.88
Blaine County,NE,7.27,5.12,2.77,10.84,5.34,7.46,6.19,9.56,9,9.89,8.07,2.64,8.29,9.62,8.96,7.97,15.13,8.86,15.83,9.54,8.79
Blaine County,OK,5.83,9.47,5.88,7.69,10.56,6.09,14.51,8.45,10.55,9.85,4.24,4.17,11.66,7.38,9.18,12.37,10.96,14.57,6.77,12.87,6.32
Blair County,PA,8.82,8.04,18.46,22.34,8.11,11.87,12.67,10.33,9.43,10.96,18.77,13.5,7.42,10.35,10.79,10.12,11.78,24.53,9.97,8.29,18.83
Blanco County,TX,11.1,17.05,9.36,6.09,6.3,4.01,14.21,6.4,9.72,14.85,1.56,12.55,8.23,6.48,1.03,10.26,10.46,13.79,3.38,7.54,8.37
Bland County,VA,14.42,11.41,16.52,16.5,9.28,11.68,6.85,11.09,14.55,11.25,12.15,12.64,11.82,12.97,14.13,11.52,8.38,18.49,7.04,14.23,12.27
Bleckley County,GA,12.89,12.24,15.49,20.71,11.34,8.94,13.39,10.38,11.94,12.72,9.49,13.07,21.2,12.55,11.26,8.19,12.68,14.98,9.94,18.29,19.96
Bledsoe County,TN,14.34,14.74,16.79,19.15,15.76,11.59,10.43,10.57,16.37,7.74,11.96,18.94,17.88,11.03,16.87,8.61,14.61,20.22,10.26,14.87,22.2
Blount County,AL,16.24,18.08,12.91,16.16,14.29,10.95,9.12,13,18.7,9.09,18.61,16.71,16.46,7.82,13,7.77,14.14,10.83,8.68,12.29,18.2
Blount County,TN,14.1,13.59,18.11,17.14,11.51,16.93,7.86,11.35,18.14,13.12,13.58,16.81,15.51,12.4,13.7,8.76,12.12,17.86,9.66,17.24,17.06
Blue Earth County,MN,8.65,11.54,7.15,16.16,16,10.47,15.69,7.14,6.48,21.05,7.03,4.19,6.86,6.8,13.12,23.03,9.52,14.79,15.24,12.26,10.08
Boise County,ID,2.35,1.02,1.61,4.02,0.95,1,2.1,1.82,2.62,1.6,0.68,0.79,4.16,3.59,3.08,1.5,3,0.27,2.25,1.01,2.14
Bolivar County,MS,10.69,12.6,9.75,5.22,13.15,6.98,12.22,17.14,16.31,6.85,12.4,11.94,10.89,9.27,7.04,13.23,13.49,13.79,9.68,13.9,11.51
Bollinger County,MO,12.81,11.21,14.36,9.06,16.07,12.96,6.84,13.93,8.41,11.32,9.72,12.36,8.42,7.02,14.5,23.2,7.07,12.93,11.55,13.93,12.09
Bon Homme County,SD,9.17,8.81,7.88,11.31,5.51,9.09,8.04,5.31,7.81,15.76,5.08,1.88,8.85,8.94,13.36,11.62,9.16,13.31,10.23,7.65,7.74
Bond County,IL,9.13,8.63,11.35,9.95,12.63,6.08,4.25,15.12,8.29,14.29,7.5,15.75,8.28,11.77,14.12,18.52,9.43,12.23,11.52,10.8,13.54
Bonner County,ID,1.6,2.07,2.52,7.93,3.94,1.2,2.16,4.23,3.4,4.94,1.82,2.74,6.83,3.32,2.02,3.22,1.88,1.45,4.07,2.59,4.78
Bonneville County,ID,2.12,3.64,2.48,4.31,3.16,3.84,3.21,1.92,2.59,2.67,2.64,2.34,4.22,7.21,5.25,3.46,4.16,1.45,4.4,1.72,4.27
Boone County,AR,10.33,8.36,9.25,6.98,9.88,10.06,6.37,22.3,18.98,18.18,9.72,9.88,14.5,8.86,14.48,14.48,7.14,12.69,11.79,9.03,7.8
Boone County,IA,10.14,12.47,9.37,9.64,12.5,19.28,14.02,12.78,8.67,22.14,8.41,6.43,4.15,15.07,18.63,21.5,7.13,16.26,12.42,6.8,8.83
Boone County,IL,14.1,11.32,8.61,6.93,9.19,12.32,18.6,15.03,9.65,13.17,14.8,6.98,6.33,10.59,11.22,13.6,10.6,14.72,15.94,11.12,8.57
Boone County,IN,13.62,11.25,22.77,8.56,14.11,13.43,9.08,10.76,8.31,7.77,10.37,12.68,6.69,10.71,12.07,14.92,9.44,14.58,8.43,8.25,12.08
Boone County,KY,15.44,8.98,18.03,10.86,11.49,12.84,7.06,6.64,13.91,4.96,12.47,10.09,12.17,10.2,11.61,14.29,12,19.19,7.77,12.16,12.75
Boone County,MO,11.43,11.26,12.09,14.32,12.93,9.15,5.51,25.14,13.41,21.73,7.02,6.66,6.34,11.57,12.63,20.5,7.97,8.7,12.61,13.03,8.74
Boone County,NE,10.02,7.48,7.4,11.45,7.16,13.09,11.99,8.64,9.01,7.15,7.86,1.61,8.04,9.98,11.82,9.22,10.29,9.92,9.43,6.45,7.74
Boone County,WV,14.38,10.13,17.41,15.36,13.41,13.35,9.46,9.6,15.51,11.92,15.81,15,13.69,13.45,14.96,10.83,12.55,20.19,7.54,12.8,15.16
Borden County,TX,4.87,5.93,3.16,12.2,7.44,7.53,8.7,11.06,6.93,10.62,1.85,5.49,5.88,9.31,4.53,8.9,8.44,8.07,4.1,3.75,4.29
Bosque County,TX,7.9,7.36,8.15,8.75,7.01,3.63,11.66,5.64,12.36,14.14,2.71,8.07,10.61,3.87,2.05,11.19,8.53,11.3,4.45,11.05,8.97
Bossier Parish,LA,11.83,8.11,10.67,8.09,12.68,8.9,13,10.76,20.34,6.4,3.7,14.11,9.81,8.45,4.35,13.49,10.92,11.97,4.05,17.7,8.66
Botetourt County,VA,9.63,10.16,17.87,16.54,10.06,10.72,6.7,11.07,12.13,12.82,11.28,12.95,13.31,10.12,15.41,13.06,8.55,19.83,7.84,14.41,15.18
Bottineau County,ND,5.33,6.43,5.06,6.81,5.24,3.46,3.14,7.89,6.58,8.32,4.98,3.13,7.79,7.72,7.46,7.08,5.43,4.58,10.98,5.67,6.03
Boulder County,CO,6.37,4.36,5.14,8.05,3.95,6.19,5.93,6.06,4.01,4.52,6.53,7.11,11.48,7.84,3.88,3.05,5.75,3.85,3.48,2.73,4.14
Boundary County,ID,1.81,2.65,2.25,7.95,5.04,2.71,1.66,3.77,4.28,5.16,2.52,3.93,8.31,4.83,3.1,4.26,1.57,2.24,4.98,3.56,6.09
Bourbon County,KS,11.85,5.94,10.5,9.84,12.2,6.82,9.14,13.39,14.69,21.15,6.86,9.05,14.4,10.08,11.66,16.42,13.17,14.53,21.25,9.04,12.88
Bourbon County,KY,18.16,9.53,13.6,14.26,9.18,15.87,10.98,6.12,16.37,10.54,15.47,14.18,12.46,12.36,15.62,10.82,11.02,27.17,9.55,13.62,15.85
Bowie County,TX,12.52,6.43,6.42,4.11,10.12,7.89,10.91,13.08,21.84,8.16,3.39,10.41,14.25,8.98,4.19,8.86,17.6,12.66,4.93,19.49,8.73
Bowman County,ND,5.49,3.16,4.31,5.72,3.7,4.09,3.51,2.93,4.73,7.16,3.85,3.67,8.79,7.41,5.06,6.23,4.69,3.33,9.23,5.17,4.01
Box Butte County,NE,7.18,5.51,4.94,6.54,4.83,5.39,4.18,6.88,6.3,5.14,5.38,1.81,7.39,8.55,5.55,6.84,7.06,6.95,8.31,2.31,4.28
Box Elder County,UT,1.18,2.13,1.6,2.62,1.42,1.93,1.65,0.7,1.58,0.95,1.76,1.68,2.8,4.94,3.37,2.55,2.1,0.42,2.85,0.8,2.9
Boyd County,KY,9.73,9.29,14.21,18.35,11.78,20.01,8.55,6.47,14.86,12.05,13.9,15.8,13.99,11.69,13.44,12.36,13.66,21.1,10.29,12.87,16.03
Boyd County,NE,9.1,7.26,3.52,8.55,5.38,8.82,6.33,8.07,8.75,13.37,8.33,2.58,8.2,8.16,12.43,7.38,13.21,15.73,13.08,7.31,7.63
Boyle County,KY,10.5,10.45,15.19,16.14,10.75,17.8,9.39,6.31,16.11,10.4,13,14.46,17.89,10.38,16.71,18.53,13.73,17.71,6.84,13.21,17.91
Bracken County,KY,15.2,8.97,17.39,11.49,11.3,14.43,7.63,6.51,16.27,6.94,10.92,12.97,10.26,9.96,13.75,11.39,11.37,22.24,9.41,13.28,14.82
Bradford County,FL,20.93,23.38,21.38,36.49,12.66,14.89,18.63,21.88,19.84,15.73,19.65,20.1,19.62,19.07,26.37,15.65,27.19,19.72,14.45,23.1,28.68
Bradford County,PA,12.47,8.9,16.01,23.35,8.57,14.28,10.02,10.87,11.76,8.4,19.8,12.84,10.54,9.05,9.77,9.42,10.45,27.32,10.8,8.96,18.51
Bradley County,AR,8.72,9.84,9.63,8.29,12.28,6.77,12.66,25.04,17.99,7.99,11.13,15.84,8.32,10.5,4.65,13.05,12.29,12.18,7.47,17.36,12.13
Bradley County,TN,11.02,12.08,18.22,18.25,13.89,13.74,8.32,10.21,18.82,9.64,15.65,18.64,17.9,11.17,18.08,8.28,10.7,19.86,7.02,17.39,22.02
Branch County,MI,11.58,8.04,14.88,11.33,10.04,12.11,15.33,14.99,7.95,8.98,12.88,10.8,9.51,9.06,9.65,15.17,6.73,10.12,12.01,8.27,14.12
Brantley County,GA,20.32,16.5,16.9,30.91,15.56,14.9,19.28,16.76,15.09,13.78,16.28,15.12,19.36,18.22,23.6,14.41,19.16,19.29,12.06,18.39,26.28
Braxton County,WV,14.38,9.41,17.67,15.26,12.28,12.23,12.06,9.17,14.16,12.56,14.18,14.25,13.13,10.78,14.73,9.81,11.5,21.82,9.54,16.98,13.48
Brazoria County,TX,19.71,25.85,21.38,6.61,10.64,17.17,22.2,15.64,10.01,23.45,5.68,13.82,11.83,14.94,14.16,17.17,32.06,23.48,19,17.87,19.49
Brazos County,TX,12.91,10.05,12.75,5.51,6.7,9.46,8.52,9.98,10.62,8.15,2.3,9.72,8.97,11.6,3.2,11.54,20.39,10.38,4.38,9.55,9.28
Breathitt County,KY,12.7,10.33,14.63,17.4,8.9,14.3,8.05,8.01,14.8,11.19,13.87,18.08,15.27,16.96,16.49,14.73,13.14,17.9,7.63,15.08,16.97
Breckinridge County,KY,13.49,13.96,14.48,9.03,13.38,19.69,8.77,7.67,14.89,6.23,10.36,13.44,11.44,10.04,12.48,14.73,13.14,13.6,6.39,13.59,14.52
Bremer County,IA,12.48,12.39,7.61,11.7,14.53,12.3,18.72,10.33,11.56,16.62,11.02,5.47,6.88,8.06,11.32,21.86,9.76,27.25,12.27,10.41,13.33
Brevard County,FL,28.4,20.61,17.7,28.99,15.97,21.63,18.41,32.15,17.31,13.06,19.3,15.24,16.22,29.01,22.23,17.51,29.37,14.02,17.75,24.38,19.55
Brewster County,TX,3.11,4.58,5.86,9.71,5.07,7.02,6.17,10.31,4.99,8.08,2.28,5.51,5.01,6.4,3.63,8.22,6.76,5.83,6.32,2.07,4.92
Briscoe County,TX,5.74,7.36,2.13,7,7.13,8.66,8.06,9.36,9.27,7.45,2.27,7.24,6.57,6.9,7.62,9.9,11.89,10.54,7.54,4.74,5.75
Bristol City,VA,14.55,11.05,18.78,12.64,8.75,12.85,7,10.26,17.06,12.77,9.33,16.39,13.93,11.08,14.82,10.93,9.98,15.68,9.24,14.87,11.33
Bristol County,MA,11.07,8.43,12.25,15.54,10.92,9.19,6.98,17.93,16.49,9.92,16.23,13.14,9.15,8.65,10.56,6.38,8.72,14.19,10.67,4.63,21.9
Bristol County,RI,11.01,8.14,12.38,16.71,9.95,10.04,7,17.3,16.15,8.45,16.25,12.59,9.68,8.83,10.71,7.98,8.1,13.11,8.62,4.75,19.79
Broadwater County,MT,4,4.27,1.93,5.21,3.26,2.51,2.89,2.2,4.27,5.25,2.13,2.07,4.93,5.34,4.42,4.48,2.56,1.95,5.56,1.41,2.43
Bronx County,NY,9.47,10.99,14.53,20.89,6.9,13.42,12.92,13.86,12.12,9.73,27.25,11.17,8.71,9.12,8.39,9.86,9.58,19.14,10.46,13.99,24.25
Brooke County,WV,10.12,8.21,15.05,20.67,9.44,10.94,11.23,8.15,8.96,7.15,14.09,14.14,11.59,12.03,13.87,13.03,9.87,18.98,10.65,7.45,16.23
Brookings County,SD,6.19,10.05,7.42,12.26,13.31,11.36,8.26,5.44,8.48,18.03,6.87,4.17,7.23,7.03,13.26,14.16,13.99,16.07,17.22,7.65,8.36
Brooks County,GA,16.19,14.33,16.41,27.58,16.15,8.73,13.98,20.06,11.91,13.85,12.02,16.69,24.59,13.78,14.79,17.59,14.85,17.18,11.87,17.55,24.92
Brooks County,TX,8.36,12.25,16.39,4.95,6.99,13.23,13.41,18.82,6.24,19.2,3.64,6.7,10.75,9.78,6.28,5.34,4.37,15.39,4.28,8.36,10.84
Broome County,NY,10.65,8.85,15.73,21.26,9.92,16.41,11.94,11.08,13.39,10.84,25.44,13.8,15.7,10.6,10.42,10.54,11.54,23.98,8.88,11.71,20.08
Broomfield County,CO,5.48,3.82,3.24,6.98,3.13,4.99,4.1,5.25,3.84,2.96,5.53,4.06,8.39,7.36,3.02,1.54,4,3.36,2.72,2.42,3.02
Broward County,FL,30.21,22.2,22.78,26.88,18.73,25.15,21.85,24.88,21.78,26.89,22.25,28.87,25.3,27.77,21.98,18.53,27.79,20.04,20.79,24.55,21.13
Brown County,IL,10.38,8.08,15.73,10.95,9.24,10.07,3.33,20.5,10.42,18.85,4.08,8.4,6.25,16.15,13.1,13.65,7.73,15.6,11.86,9.41,11.39
Brown County,IN,15.57,8.23,17.17,10.5,14.84,14.06,7.94,8.41,14.34,3.68,8.68,10.4,7.58,12.29,13.13,21.17,8.98,14.16,7.98,9.91,16.04
Brown County,KS,17.81,5.93,5.78,9.73,10.23,12.67,13.01,10.35,11.45,14.12,15.04,8.77,10.65,11.22,11.4,21,7.26,14.21,15.54,13.7,8.54
Brown County,MN,9.33,9.94,7.7,13.92,14.13,9.48,12.15,7.5,7.81,17.21,5.42,4.84,5.02,7.51,10.29,20.21,12.6,16.98,13.73,10.63,9.82
Brown County,NE,7.77,5.33,3.27,8.86,5.36,7.38,5.7,9.46,8.39,8.2,9.57,2.44,6.61,8.02,8.72,8.37,14.21,9.79,14.74,7.84,9.03
Brown County,OH,14.51,9.49,17.65,10.78,11.4,14.85,7.68,6.83,14.67,7.35,11.42,12.24,10.97,8.46,12.9,12.93,10.71,20.09,9.25,12.2,15.09
Brown County,SD,7.3,8.35,4.29,8.78,6.65,6.96,6.39,10.57,11.52,9.45,8.95,4.64,5.57,7.02,7.31,8.84,7.32,9.19,11.69,6.73,9.43
Brown County,TX,7.39,9.91,7.68,10.05,9.63,4.61,7.36,8.34,10.33,8.82,2.24,7.87,10.51,5.67,6.68,6.93,7.26,7.8,1.31,7.72,5.99
Brown County,WI,7.97,8.42,11.75,5.13,9.72,8.72,9.24,7.34,7.04,17.41,10.25,9.82,8.5,11.04,11.78,12.13,9.37,14.29,17.52,10.04,15.55
Brule County,SD,6.47,6.78,5.31,8.46,4.51,7.47,8.35,7.45,8.53,10.09,5.38,1.56,7.06,8.06,12.92,7.28,10.17,9.46,20.94,7.07,7.86
Brunswick County,NC,17.77,19.11,20.06,23.36,19.99,19.16,8.6,17.89,14.91,21.67,19.22,15.81,14.69,23.61,15.47,23.05,21.64,30.17,23.45,18.93,22.17
Brunswick County,VA,11.08,11.38,21.22,24.55,7.37,18.72,6.71,10.87,12.42,11.95,17.38,17.81,10.92,16.25,13.24,12.9,10.14,15.7,9.08,20.4,14.82
Bryan County,GA,14.12,15.44,16.96,17.5,11.34,13.28,19.59,16.17,15.2,13.63,11.36,17.98,19.81,16.27,13.82,12.32,18.62,13.48,9.34,15.87,22.96
Bryan County,OK,10.85,11.35,8.92,6.91,9.26,5.52,9.29,6.31,13.05,12.99,1.35,6.29,5.36,9.59,5.36,7.84,16.56,17.84,9.1,13.08,6.98
Buchanan County,IA,13.87,12.7,8.54,7.47,8.63,14.36,17.73,11.28,15.65,17.32,11.92,6.31,6.54,8.93,11.08,19.82,7.33,23.01,12.14,10.69,10.75
Buchanan County,MO,18.53,4.95,8.44,11,12.01,14.02,9.52,13.99,12.89,15.58,12.42,5.65,8.2,11.27,12.77,23.81,9.51,10.89,15.07,19.09,7.85
