county,state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Atascosa County,TX,9.01,20.78,14.22,7.21,4.47,6.53,16.9,10.94,6.95,10.88,2.03,8.45,9.2,5.05,1.46,13.46,8.75,14.14,2.02,7.63,8.34
Atchison County,KS,18.66,5.5,7.62,10.81,12.02,15.1,9.56,12.83,12.59,17.25,13.72,7.02,10.36,11.89,10.96,19.62,9.7,11.95,15.35,16.24,8.05
Atchison County,MO,9.27,7.75,4.16,10.59,9.13,12.34,13.19,8.74,10.3,14.13,13.57,7.19,7.24,13.47,13.4,17.74,7.69,14.79,12.53,9.11,8.87
Athens County,OH,9.02,9.48,17.39,18.43,9.75,15.9,9.47,7.94,9.01,12.03,14.08,11.12,13.59,7.56,13.12,8.41,11.59,16.43,8.96,10.54,14.7
Atkinson County,GA,14.4,15.4,19.2,24.44,13.52,8.51,14.54,13.2,11.93,11.52,12.72,14.31,15.65,12.12,15.76,11.71,16.96,14.17,12.06,15.28,20.44
Atlantic County,NJ,8.1,7.28,11.62,12.31,7.54,15.44,7.29,10.44,19.63,8.98,22.3,11.29,10.4,17.77,10.06,14.61,16.98,16.51,9.67,21.05,16.77
Atoka County,OK,9.79,10.8,10.2,8.27,9.61,4.88,13.64,8.83,14.13,10.94,2.52,8.96,6.31,9.24,7.43,6.76,16.36,18.44,8.56,15.24,7.87
Attala County,MS,14.71,17.62,12.92,10.73,17.86,9.43,13.95,19.92,23.44,8.49,17.94,18.58,10.5,8.59,6.53,8.15,12.21,15.21,15.29,13.21,15.51
Audrain County,MO,11.07,7.98,10.99,15.5,9.11,10.02,4.94,29.34,12.9,24.81,5.92,7.21,5.38,12.97,11.35,19,6.95,11.14,10.88,11.72,7.91
Audubon County,IA,9.03,11.03,6.39,9.88,8.77,17.87,13.6,11.86,10.98,18.19,9.86,6.09,4.49,19.78,20.08,18.08,14,15.64,17.3,5.71,12.54
Auglaize County,OH,11.18,7.03,20.88,10.32,14.18,10.08,13.29,5.76,5.41,6.63,12.52,12.5,11.65,10.02,11.39,9.53,10.59,12.13,9.71,10.27,13.21
Augusta County,VA,9.3,9.63,20.25,17.73,9.9,13.42,8.75,10.1,10.36,11.13,14.58,13.66,10.69,6.83,14.23,11.75,10.15,21.61,9.42,20.34,16.59
Aurora County,SD,5.85,6.7,6.38,8.77,4.97,8.43,8.09,5.81,8.63,13.59,4.32,1.91,6.89,9.13,11.22,7.96,10.67,8.4,20.11,6.02,6.92
Austin County,TX,16.18,15,13.3,6.15,8.35,10.9,13.86,10.81,9.22,11.65,2.7,15.3,10.04,6.89,8.83,10.09,26.86,11.13,5.62,13.8,11.32
Autauga County,AL,12.33,15.36,18.16,14.66,18.24,10.82,10.16,16.17,17.07,9.14,10.59,16.85,14.8,8.8,11.1,10.4,12.25,17.12,6.14,15.01,16.47
Avery County,NC,15.12,12.83,18,29.1,15.3,15.39,9.13,17.88,16.71,14.07,15.47,16.3,26.82,13.2,17.94,12.44,13.28,20.4,9.38,19.56,17.58
Avoyelles Parish,LA,15.68,13.04,12.3,6.14,19.35,11.35,19.21,18.19,11.06,14.9,14.77,14.16,11.89,16.42,8,19.55,16.26,12.18,15.2,18.95,25.37
Baca County,CO,6.14,8.03,4.52,7.81,3.92,9.48,3.43,7.46,8.52,7.95,3.54,4.9,9.11,6.56,6.77,5.98,11.59,9.64,4.19,6.17,5.07
Bacon County,GA,14.99,15.34,19.09,26.12,12.39,12.27,17.25,13,11.33,10.86,12.45,13.87,19.48,13.31,15.21,13.07,18.57,13.22,11.69,16.18,19.84
Bailey County,TX,4.63,6.18,1.69,15.85,9.76,8.53,4.04,8.36,8.5,7.52,3.8,3.76,7.23,9.77,7.92,11.03,13.04,9.92,7.8,3.14,6.85
Baker County,FL,21.39,19.61,17.86,32.28,16.72,16.34,18.56,24.72,16.51,16.51,20.81,18.18,19.22,20.33,20.92,19.24,22.54,15.85,12.11,21.43,24.52
Baker County,GA,11.43,16.47,16.51,20.27,15.9,12.5,13.5,19.13,17.14,10.89,10.19,12.36,25.15,11.74,10.33,12.46,10.33,16.35,9.32,18.08,19.79
Baker County,OR,1.6,1.31,1.44,3.06,0.67,1.38,1.4,1.59,1.9,1.22,0.43,0.95,4.31,1.59,2.6,1.13,1.15,0.38,2.17,0.77,1.84
Baldwin County,AL,22.22,26.82,24.65,21.22,21.73,15.04,13.65,21.21,19.02,15.7,20.67,22.12,22.48,11.49,13.17,18.45,19.72,27.9,14.57,28.39,26.69
Baldwin County,GA,10.98,12.63,10.76,19.14,13.21,10.34,16.33,10.22,16.17,13.67,9.18,12.07,18.62,10.87,11.3,6.26,14.19,10.15,8.06,18.27,16.52
Ballard County,KY,15.42,10.85,11.87,5.48,16.48,20.57,5.19,7.28,13.5,8.8,9.62,10.11,9.69,7.96,12.3,16.97,6.48,9.92,12.25,12.66,12.54
Baltimore City,MD,8.93,10.33,15.63,14.95,10.87,10.41,6.25,14.64,14.19,18.49,27.25,14.19,7.11,13.12,8.97,15.34,14.59,28.56,8.49,19.68,15.61
Baltimore County,MD,9.06,10.19,16.64,16.15,11.56,10.61,7.32,14.35,15.56,16.8,24.52,13.32,9.68,11.34,11.08,14.78,14.16,29.12,9.76,15.38,17.53
Bamberg County,SC,13.5,12.72,19.37,15.94,13.43,10.85,10.96,14.62,10.1,17.11,14.54,15.85,22.16,14.19,14.91,17.85,14.04,15.45,6.9,20.57,19.13
